Bib	First Name	Surname	Club	Category	Sex	Laps	OutLap	Lap1	Lap2	Lap3	Lap4	Lap5	Lap6	Lap7	Finish	Place Overall	Place Category	Place Sex
413	Simeon	Young	Pedal Sport CC	MJ	M	8	05:36.8	06:45.7	06:46.5	06:53.0	06:50.9	06:42.7	06:45.7	06:48.4	53:09.6	13	2	13
486	Al	Yellup	Unattached	MV40	M	6	07:01.9	08:06.6	08:33.4	08:48.3	08:48.0	08:47.4			50:05.5	80	33	80
448	Steve	Wood	Geared Up Cycles	MV40	M	8	06:11.6	07:01.8	07:00.8	07:02.7	07:01.9	07:03.7	07:11.4	07:06.8	55:40.7	29	9	29
426	Nathan	Wilson	Wilson Whs	MS	M	8	05:25.7	06:48.6	06:41.7	06:46.0	06:47.4	06:48.4	06:48.6	06:43.8	52:50.0	10	6	10
403	Joe	Williams	Prologue	MU23	M	8	05:26.4	06:39.9	06:47.8	06:48.2	06:47.4	06:47.6	06:49.3	06:44.2	52:50.8	11	2	11
472	Lee	Wild	Harworth and District CC	MV40	M	7	07:26.6	07:51.4	07:54.4	07:56.2	07:59.7	08:10.3	08:03.6		55:22.1	65	26	65
488	Dave	Wilby	Ilkley CC	MS	M	7	06:30.0	07:26.4	07:24.2	07:20.7	07:25.5	07:22.0	07:18.2		50:47.0	44	17	44
471	Robert	Watson	Prologue	MS	M	8	05:34.9	07:02.6	07:08.0	07:33.2	07:39.5	06:51.4	07:27.0	08:32.3	57:48.7	38	14	38
449	Ben	Turner	JLT	MJ	M	8	05:14.0	06:26.3	06:19.3	06:27.0	06:25.4	06:14.1	06:19.3	06:11.6	49:36.8	2	1	2
441	Martin	Turner	Homfirth	MV40	M	1	07:25.0								DNF	103	103	103
478	Elias	Thorpe	VSCC	MU23	M	6	07:48.7	09:09.9	09:26.9	09:55.5	11:14.3	09:54.5			57:29.7	87	9	87
455	Ian	Taylor	C and N Cycles RT	MV40	M	8	05:19.6	06:21.0	06:22.8	06:23.3	06:26.6	06:27.5	06:25.0	06:09.8	49:55.4	5	2	5
446	Jamie	Taylor	Holmfirth Cycling Club	MV40	M	6	14:23.9	07:30.4	07:35.6	07:40.2	07:50.0	08:04.6			53:04.6	85	36	85
481	Connor	Swift	Envople	MS	M	8	05:25.2	06:25.3	06:45.9	06:39.0	06:39.2	06:45.5	06:40.4	06:39.8	52:00.4	8	4	8
405	Sam	Streeton	York Cycle Works	MV40	M	7	06:23.2	07:29.3	07:26.4	09:13.0	08:59.7	07:34.2	07:26.8		54:32.4	63	25	63
487	Thomas	Steel	Unattached	MJ	M	6	07:59.1	09:52.8	10:09.5	09:59.3	09:55.2	10:11.8			58:07.6	88	12	88
483	Darryl	Stead	Ilkley CC	MV40	M	6	07:21.0	08:19.7	08:13.4	08:44.7	08:33.1	08:31.4			49:43.1	78	31	78
466	Paul	Smith	HSW	MV40	M	7	06:21.3	07:28.3	07:25.0	07:23.2	07:20.6	07:23.1	07:13.4		50:34.7	42	14	42
420	Neil	Sinclair	Unattached	MV40	M	6	07:26.9	08:24.4	08:29.5	08:45.9	08:42.2	08:52.7			50:41.4	83	35	83
417	Robin	Short	Pedal Sport CC	MS	M	8	05:26.7	06:16.5	06:25.5	06:43.7	06:42.6	06:45.0	06:40.4	06:38.6	51:38.9	7	3	7
475	James	Sharp	Unattached	MV40	M	8	05:29.7	06:13.1	06:19.1	06:24.4	06:26.4	06:27.8	06:25.6	06:07.9	49:54.0	4	1	4
445	Mark	Rogers	VC Beverley	MS	M	7	06:23.4	07:29.3	07:45.5	07:52.0	07:33.8	07:37.5	07:28.3		52:09.7	53	20	53
489	Mark	Richmond	Ilkley CC	MS	M	7	06:39.2	07:04.3	11:15.6	07:21.6	07:25.4	07:11.0	07:49.3		54:46.5	64	24	64
468	Tom	Randall	HSW	MS	M	8	05:45.8	06:48.3	06:54.7	06:56.7	07:01.5	07:02.9	06:54.0	06:57.4	54:21.2	23	9	23
452	Adam	Pridmore	EBCC	MS	M	7	06:35.1	07:24.1	07:29.0	07:34.3	07:42.8	07:40.3	07:17.7		51:43.1	50	19	50
473	Andy	Peace	Jedi Cycle Sport	MV40	M	8	05:42.0	06:32.2	06:41.6	06:46.1	06:47.8	06:47.8	06:48.6	06:49.5	52:55.5	12	3	12
474	Edwyn	Oliver-Evans	www.cxmagazine.com	MU23	M	8	05:45.6	06:43.8	06:49.3	06:54.5	06:47.6	06:48.1	06:46.8	06:41.9	53:17.5	15	3	15
459	Luke	O?Connell	?E.B.C.C.	MJ	M	7	06:23.4	07:10.1	07:22.9	08:44.2	07:36.2	08:38.6	07:47.0		53:42.3	61	7	61
410	Paul	Nutton	Here Come the Belgians	MV40	M	7	06:27.6	07:25.7	07:20.9	07:23.4	07:29.1	07:33.3	07:22.0		51:01.8	46	15	46
457	Paul	Nelson	Unattached	MV40	M	5	08:11.0	09:37.0	10:20.3	10:32.6	10:41.8	10:50.0			01:00:13	89	37	89
463	Mike	Moss	GS CREAZZO	MV40	M	8	05:59.9	07:11.0	07:16.4	07:18.9	07:11.8	07:21.5	07:12.2	07:06.2	56:37.9	35	12	35
411	Sam	Moses	PMC	MJ	M	8	05:25.7	06:17.9	06:29.5	06:45.9	08:59.3	06:37.4	06:41.7	06:31.1	53:48.6	19	5	19
444	Owen	Morris	HCC	MU23	M	6	07:10.8	09:06.1	09:10.5	09:31.0	09:04.2	09:16.4			53:19.0	86	8	86
423	Levi	Moody	Wheelbase	MU23	M	8	05:43.5	06:49.0	06:56.6	06:53.8	07:01.0	06:59.8	07:09.9	06:56.0	54:29.4	24	5	24
447	Tony	Mills	York Cycleworks	MV40	M	8	06:10.9	06:48.9	06:58.2	07:00.3	07:00.4	06:59.6	06:53.8	06:54.3	54:46.3	25	6	25
432	Richard	Middleton	Hargreaves	MS	M	8	06:18.9	07:02.0	07:13.8	07:26.6	07:06.0	07:02.5	07:12.8	07:03.2	56:25.7	32	12	32
422	Ryan	Middlemiss	EBCC	MJ	M	8	05:45.5	06:41.5	06:52.6	06:53.6	06:48.5	06:48.0	06:46.0	06:42.4	53:17.8	16	3	16
477	Liam	Mealey	Otley Cycle Club	MS	M	7	06:57.7	07:57.9	07:56.8	08:04.4	08:26.0	08:14.1	08:07.1		55:44.1	69	27	69
479	Stuart	Mcrink	Paceline	MS	M	7	06:25.0	07:05.5	07:23.0	07:23.7	07:20.3	07:26.8	07:10.2		50:14.4	40	15	40
456	John	McManus	Unattached	MS	M	6	07:27.8	08:23.2	08:29.2	08:43.6	08:44.6	08:52.7			50:41.1	82	30	82
480	Dermot	Mckee	Petalsport	MV45	M	7	06:25.1	07:19.7	07:17.1	07:22.1	07:23.2	07:30.5	07:20.0		50:37.6	43	1	43
431	Conor	McKee	Unattached	MV40	M	7	06:23.9	07:19.8	07:28.5	07:38.9	07:32.9	07:38.5	07:28.1		51:30.6	48	17	48
416	Louis	Mason	Harrogate Nova	MJ	M	6	07:28.0	08:23.4	08:29.1	08:45.9	08:51.5	09:25.6			51:23.4	84	11	84
436	Gary	Marks	Harrogate Nova	MV40	M	7	06:40.1	07:44.9	07:55.9	08:15.4	08:17.1	08:25.7	08:24.8		55:43.8	67	27	67
458	Xavier	Manel-La	VC York	MS	M	8	05:57.6	07:00.8	07:03.2	07:15.5	07:11.0	07:29.1	07:22.9	07:07.9	56:28.0	33	13	33
418	Ryan	Manders	Cyclefit	MS	M	3	05:42.3	06:44.4	06:52.3						DNF	101	101	101
435	Stefan	Macina	Unattached	MV40	M	8	05:53.5	06:42.7	06:43.6	07:16.2	07:09.4	06:50.6	06:47.6	06:50.5	54:14.0	21	5	21
