Bib	First Name	Surname	Club	Category	Sex	Laps	OutLap	Lap1	Lap2	Lap3	Lap4	Lap5	Lap6	Lap7	Finish	Place Overall	Place Category	Place Sex
442	Daniel	Lomas	Pedalsport	MV40	M	7	07:01.0	08:07.3	08:15.6	08:18.5	08:23.8	08:31.7	08:35.1		57:13.0	74	30	74
434	Matthew	Lister	paul milnes	MJ	M	7	06:35.6	07:44.1	07:59.5	07:52.4	07:57.9	11:01.4	08:08.1		57:18.9	75	9	75
451	Ben	Lewis	HackneyJT	MV40	M	8	06:28.4	07:06.3	07:14.6	07:11.8	07:06.0	07:02.2	07:13.1	07:11.4	56:33.7	34	11	34
465	Matt	King	Unattached	MV40	M	7	06:39.7	07:21.4	07:25.6	07:29.2	07:36.0	07:50.2	07:27.2		51:49.3	51	19	51
409	Tim	Kershaw	Pedal Sport CC	MV40	M	7	06:48.2	08:34.6	07:32.9	07:40.0	07:29.7	07:27.2	07:28.6		53:01.1	57	23	57
421	Stephen	Jones	Unattached	MJ	M	7	07:21.0	08:19.8	08:31.3	08:27.8	08:24.8	08:22.3	08:39.1		58:06.0	77	10	77
450	Andrew	Johnston	Clifton CC	MV40	M	7	06:25.3	07:08.5	07:29.1	07:35.3	07:42.9	07:43.4	07:38.3		51:42.7	49	18	49
443	Andrew	Johnson	York Cycle Works	MS	M	7	06:00.2	07:13.5	07:22.3	07:25.4	07:26.6	07:24.4	07:37.2		50:29.6	41	16	41
438	Gary	Jackson	HSW	MV40	M	7	07:19.0	07:59.0	08:12.7	08:15.4	08:05.1	08:14.2	07:54.5		55:59.9	71	29	71
453	Richard	Hutchinson	York Cycleworks	MV40	M	7	06:36.5	07:17.3	07:25.9	07:35.4	07:30.0	07:49.7	07:35.3		51:50.0	52	20	52
428	Paul	Hughes	Pedalsport	MV40	M	6	07:29.2	08:21.9	08:20.8	08:27.6	08:34.8	08:41.7			49:56.0	79	32	79
425	Ben	Howe	Paceline Cycles	MS	M	7	06:49.8	08:03.9	08:04.9	08:24.9	08:32.1	08:26.1	08:04.1		56:25.8	72	28	72
406	Joe	Howcroft	PH-MAS Cycling Team	MJ	M	8	06:06.1	06:43.9	06:49.9	06:47.7	06:47.1	06:49.3	06:53.0	06:51.5	53:48.4	18	4	18
404	Mark	Holden	Colderclarion	MS	M	7	06:13.7	07:39.3	07:29.7	08:04.2	07:38.0	08:03.4	11:51.8		57:00.0	73	29	73
439	Phil	Hinchcliffe	Homfirth	MV40	M	8	05:49.1	06:47.2	06:52.2	06:57.2	07:08.4	07:02.4	07:11.8	07:27.0	55:15.2	28	8	28
467	Theo	Hartley	Ingear	MJ	M	7	06:09.7	07:04.8	07:35.0	07:29.1	07:19.0	07:14.7	07:07.2		49:59.4	39	6	39
419	Michael	Hargreaves	HD Revolutions	MS	M	7	06:43.0	08:22.2	07:51.3	07:32.2	08:30.1	08:43.1	08:01.9		55:43.8	68	26	68
414	Billy	Harding	Oldfield Paul Milnes	MU23	M	8	05:13.6	06:26.4	06:19.4	06:27.5	06:25.5	06:27.7	06:25.2	06:28.9	50:14.2	6	1	6
460	Russell	Gordon	Holmfirth Cycling Club	MV40	M	7	06:51.4	07:32.5	07:43.0	07:39.4	07:46.6	07:53.9	07:29.2		52:56.0	56	22	56
470	Criag	Gath	York Cycleworks	MV40	M	8	06:03.5	06:53.0	07:02.6	06:58.8	07:01.0	06:58.9	06:55.2	07:00.0	54:53.0	26	7	26
440	Ian	Garbett	Holmfirth Cycling Club	MV40	M	7	06:34.0	07:21.7	07:24.3	07:21.7	07:34.0	07:30.5	07:15.8		51:02.0	47	16	47
476	Alex	Foley	LMCC	MU23	M	7	06:57.5	07:56.5	07:26.2	07:29.2	07:26.9	07:22.5	12:44.1		57:22.9	76	7	76
491	Richard	Firth	Unattached	MS	M	8	06:11.1	06:45.7	06:45.3	07:48.4	06:48.1	06:57.0	06:57.0	06:41.7	54:54.1	27	10	27
427	Keith	Finnett	Pedal Sport CC	MV40	M	6	07:27.5	08:28.4	08:25.2	08:34.4	08:44.4	08:53.1			50:32.9	81	34	81
461	Matthew	Eastwood	York Cycle Works	MV40	M	7	06:45.1	07:39.4	07:42.6	07:33.0	07:36.4	07:38.6	07:54.8		52:49.9	55	21	55
484	Giles	Dumont	Ilkley CC	MV40	M	8	06:09.4	07:04.6	07:06.9	07:09.7	07:15.2	07:13.8	07:04.9	07:06.4	56:10.8	31	10	31
469	Ben	Dransfield	KTM	MU23	M	8	06:13.5	07:01.9	07:01.1	07:15.0	07:26.4	07:10.8	07:23.6	07:30.3	57:02.4	36	6	36
494	Richard	Dearing	VC Beverley	MS	M	7	07:08.0	07:47.9	08:02.8	08:24.8	08:08.3	08:08.4	07:56.5		55:36.6	66	25	66
454	James	Dalton	Pedal Sport CC	MS	M	8	05:40.7	06:39.2	07:10.8	06:47.5	06:42.6	06:48.0	06:46.4	06:42.8	53:17.8	17	8	17
401	Jonny	Croston	Colderclarion	MS	M	7	06:39.8	07:21.7	07:47.6	07:50.8	08:02.0	07:51.1	07:40.2		53:13.1	59	22	59
433	Carl	Coughlan	Pedal Sport CC	MV40	M	3	06:38.9	07:16.5	07:47.4						DNF	102	102	102
430	Ben	Cooper	Bill Hargreaves/Batley CC	MS	M	8	05:34.6	06:31.4	06:31.8	06:37.4	06:39.4	06:45.4	06:44.9	06:54.0	52:18.8	9	5	9
402	Ian	Cliffe	Ilkley CC	MV40	M	8	05:58.4	06:54.9	06:59.7	07:02.4	07:03.6	06:57.2	06:56.1	09:55.7	57:47.9	37	13	37
408	Jack	Clarkson	Hope Factory Racing	MS	M	8	05:13.4	06:27.1	06:19.3	06:27.0	06:24.9	06:28.8	06:25.0	06:00.2	49:45.6	3	2	3
493	Rob	Clarkson	Unattached	MV40	M	7	07:12.5	07:52.4	08:07.0	08:25.3	08:08.6	08:17.1	07:57.0		55:59.9	70	28	70
424	Andrew	Carr	Ilkley CC	MS	M	7	06:34.7	07:18.8	07:08.8	07:23.7	07:32.6	07:23.4	07:30.1		50:52.0	45	18	45
485	Avner	Bordoley	ABCC	MJ	M	7	06:06.4	07:24.4	07:31.2	08:01.6	08:08.6	08:44.2	08:32.2		54:28.5	62	8	62
415	Graeme	Bird	Pedal Sport CC	MV40	M	8	05:51.7	06:45.5	06:51.2	06:50.3	06:50.1	06:57.3	07:01.6	06:54.8	54:02.5	20	4	20
407	Matt	Beaumont	Wilson Whs	MS	M	8	06:05.6	06:57.8	07:10.8	07:02.5	07:06.4	07:18.9	07:11.8	07:11.8	56:05.4	30	11	30
464	David	Beachill	Geared Up Cycles	MS	M	8	05:51.5	06:38.9	06:48.3	06:55.1	06:47.8	06:47.8	06:46.0	06:41.6	53:16.7	14	7	14
437	Nicholas	Barnes	Hargroves R/T	MS	M	8	05:13.1	06:27.6	06:20.9	06:25.5	06:25.0	06:14.2	06:19.3	06:10.8	49:36.3	1	1	1
482	Christopher	Barnes	Zepnat RT	MU23	M	8	05:49.3	06:33.6	06:53.9	06:56.6	06:55.7	07:05.8	07:08.7	06:56.7	54:20.1	22	4	22
500	Chris	Bairstow	Ravensthorpe	MS	M	7	06:33.8	07:36.3	07:30.4	08:08.7	07:26.8	07:50.0	07:32.0		52:37.7	54	21	54
492	Joseph	Allen	Unattached	MS	M	7	06:52.4	07:41.2	07:50.3	07:48.2	07:48.3	07:40.6	07:46.8		53:27.6	60	23	60
412	Heath	Ackroyd	Shibden CC	MV40	M	7	06:52.0	07:38.9	07:50.3	07:43.8	07:54.9	07:41.3	07:23.7		53:04.7	58	24	58
